Date,Billet No,Unit Weight,Longitudinal Height,Transvers Height,Cross Sectional Area,Rib spacing,Length,Con No,Bundle,Bundle No,Billet Temp,YS,UTS,EL
2025-01-01,2,1.553,1.00,1.40,197.83,10.92,6015,1542501011,1,1542501011001,980,579,654,20
2025-01-01,55,1.551,1.00,1.40,198.57,10.92,6012,1542501011,19,1542501011019,1010,572,644,17
2025-01-01,110,1.577,0.95,1.35,200.89,10.92,6014,1542501011,43,1542501011043,1010,567,629,22
2025-01-01,155,1.575,0.95,1.35,200.64,10.92,6015,1542501011,60,1542501011060,1010,535,616,22
2025-01-01,203,1.541,1.00,1.45,196.31,10.92,6016,1542501011,85,1542501011085,1000,550,630,21
2025-01-01,270,1.562,1.00,1.45,198.98,10.92,6016,1542501011,113,1542501011113,1000,565,629,21
2025-01-01,316,1.534,1.00,1.40,195.03,10.92,6016,1542501011,135,1542501011135,1010,578,650,21
2025-01-01,380,1.535,1.00,1.40,195.04,10.92,6012,1542501011,159,1542501011159,1005,597,656,20
2025-01-01,1,1.555,0.95,1.40,198.09,10.90,6016,1542501012,1,1542501012001,1005,605,658,20
2025-01-01,42,1.545,0.95,1.35,196.82,10.91,6012,1542501012,16,1542501012016,996,603,669,22
2025-01-01,110,1.568,1.00,1.35,199.75,10.91,6015,1542501012,45,1542501012045,1010,589,658,23
2025-01-01,161,1.544,1.10,1.50,196.69,10.91,6017,1542501012,68,1542501012068,1002,591,665,22
2025-01-01,230,1.568,1.00,1.45,199.75,10.90,6011,1542501012,90,1542501012090,1008,593,650,20
2025-01-01,281,1.533,1.00,1.40,195.41,10.90,6013,1542501012,120,1542501012120,1012,571,636,23
2025-01-01,350,1.563,1.00,1.40,199.11,10.91,6015,1542501012,154,1542501012154,1000,575,640,20
2025-01-01,420,1.560,1.00,1.40,198.73,10.91,6016,1542501012,185,1542501012185,1010,591,659,22
2025-01-01,450,1.550,1.00,1.35,197.45,10.91,6014,1542501012,191,1542501012191,1000,589,656,23
2025-01-02,1,1.558,1.00,1.10,198.47,10.80,6015,1542501021,1,1542501021001,970,601,670,15
2025-01-02,32,1.539,1.20,1.30,196.05,10.98,6015,1542501021,13,1542501021013,985,575,649,19
2025-01-02,95,1.552,1.10,1.20,197.71,10.98,6015,1542501021,36,1542501021036,930,584,661,24
2025-01-02,160,1.557,1.10,1.20,198.34,10.98,6015,1542501021,64,1542501021064,945,611,673,20
2025-01-02,225,1.564,1.00,1.10,199.24,10.95,6015,1542501021,96,1542501021096,951,592,658,20
2025-01-02,290,1.573,1.00,1.10,200.38,10.95,6014,1542501021,109,1542501021109,947,595,663,20
2025-01-02,300,1.548,1.15,1.40,197.2,10.84,6015,1542501021,125,1542501021125,953,605,675,18
